X,Y,name,elevation
-74.0583075771,4.6641440546,302 CC Unilago,2585.7
-74.0572145135,4.6660041249,303 CC Atlantis Plaza,2580.6
-74.0556092813,4.6690159418,304 Cl del Country,2588
-74.0549845184,4.6703542982,305 CC Artelana,2592.7
-74.0541655797,4.6721589093,306 Pq del Virrey,2585
-74.0534625818,4.6734736773,307 CADE chico,2598.5
-74.0526470675,4.6751685461,308 CC La Plazuela,2583.3
-74.0515037023,4.6773884561,309 CC Centro 93,2594.9
-74.0511046929,4.6782163584,310 Cámara de Comercio sede norte,2592
-74.049639327,4.6810013897,311 Chicó nte 2o sector,2591.8
-74.0488441781,4.6825330149,312 Chicó nte 2o sector,2580.2
-74.0481793358,4.6842057749,094 Centro de negocios Chico plaza,2601.8
-74.0610327774,4.6589957303,397 Cl 72,
-74.0590243114,4.6576048553,314 U Pedagógica Nal,2604.9
-74.0584441362,4.6578356451,226 U Pedagógica Nal,2597.4
-74.0571213411,4.6597365108,225 La Porciuncula,2603.2
-74.0524937939,4.6666074319,223 CC Andino,2597.5
-74.0512875788,4.668425308,045 La Cabrera,2604.8
-74.0487264067,4.6726048138,221 Seguros del Estado,2592.8
-74.0479545007,4.6741241902,044 Embajada de Francia,2599.8
-74.0456585126,4.6786499141,219,2608.1
-74.0462817068,4.6838196363,214 Chicó norte II sector,2612.3
-74.075637349,4.6517439777,019 IDE Alemania Solidaria,2591.6
-74.0739823998,4.6514120963,017 Quinta Mutis,2595.7
-74.0720228758,4.65103928,016 Muequeta,2593.9
-74.0690437785,4.6533121821,NN Baquero,2590.4
-74.0667379013,4.6566531985,618 Rafel Uribe,2591.2
-74.0655312739,4.6585057229,677 Colombia,2590.9
-74.0641950164,4.6605187096,678 Colombia,2593
-74.0623537972,4.6614522507,099 Br San Felipe,2595.4
-74.0592538467,4.6623443577,301 Br Porciuncula,
-74.0540988344,4.6641001333,224 Esparillal,
-74.0492928505,4.6715433454,222 Parroquia de la Inmaculada Concepción,
-74.0499884729,4.6727010464,130 El Chicó,
-74.0520051496,4.6737988625,129 El Chicó,
-74.0599220227,4.6613817349,300 U Sergio Arboleda,
-74.0749337101,4.6512892515,018 Nuestra Señora del Pilar,
-74.068786491,4.6501994726,325 Br San Luis,
-74.0673530289,4.6507413566,101 Br La Esperanza,
-74.0653032681,4.6567309187,355 Br Concepcion norte,
-74.0636591502,4.6593286334,100 Concepción Norte,
-74.0517737216,4.6635059472,318 El Nogal,2623.3
-74.0659584771,4.6243437233,386 Pq Nacional,2576.9
-74.0650920242,4.6278631537,384 U Javeriana,2621.5
-74.0643463098,4.6305596083,383 U Javeriana,2624.6
-74.0637344308,4.6335708071,381 Pardo Rubio,2623.8
-74.0638856116,4.6356367366,380 Pardo Rubio,2662.3
-74.0631370656,4.639236398,377 Dirección de Sanidad,2634.1
-74.0620391504,4.6422247757,387 Bosque Calderón,2633.5
-74.0616137897,4.6438310396,374 U. de la Salle,2621.3
-74.0611050173,4.6459333886,375 U. de la Salle,2623.5
-74.0593403857,4.6490715025,373 Av Cra 7,2646.1
-74.0583703638,4.6501594316,015 Cl 67,2630.6
-74.0581993571,4.6565669754,320 CC Avenida Chile,2608.6
-74.0580129464,4.6568525135,315 CC Avenida Chile,2466.8
-74.0594187853,4.656586559,227 Cl de Traumatología y Ortopedia,2472.7
-74.0607852765,4.6543868008,228 Quinta Camacho,2488.3
-74.0614451497,4.6530453033,229 Cl del Niño,2484.2
-74.0619356076,4.651902652,047 Cl del Niño,2497.3
-74.063962835,4.6473603875,232 Cuerpo Oficial de Bomberos de Bogotá,2528
-74.0644707953,4.6442685461,098 Almacenes Tía,2546.5
-74.0650876889,4.6406915362,233 Tecnoparque SENA,2544
-74.06559676,4.6374676019,198 F Oftalmológica Nacional,2551.8
-74.0662652627,4.6333196014,234 U Piloto,2582.3
-74.066839972,4.6322066635,278 Sucre,2584.4
-74.0667722326,4.6324724562,277 Marly,2580.7
-74.0665402349,4.6317815909,235 U La Gran Colombia,2571
-74.0672681574,4.6276293788,236 Sucre,2600.7
-74.0674470298,4.6264396944,237 RCN Radio,2612.9
-74.0667535923,4.6638553357,335 Alcázares Norte,2582.8
-74.0656453842,4.6656779228,332 La Aurora,2581.7
-74.0642137368,4.6678341515,331 Juan XXIII,2577.1
-74.0646299546,4.6701529977,169 Estación el Polo,2581
-74.0659868499,4.6699470369,NN ITD Fundación Juventud,2587.8
-74.0683580353,4.6671777917,NN La Aurora,2581.8
-74.0704821301,4.6645917387,NN Arquidiócesis Pastoral,2580.3
-74.0731007676,4.6608953714,NN Colegio Marillac,2582.4
-74.0753571668,4.655457368,NN Benjamín Herrera,2577.3
-74.0756915117,4.652776445,NZE,2575.3
-74.0678943982,4.662094447,393 CAI Alcázares,2567.3
-74.0624881256,4.6752631897,593 Polo Club,2576.1
-74.0633302554,4.6703717625,591 Polo Club,2590.8
-74.065518405,4.6653144079,333 San Felipe,2581.2
-74.0673992569,4.6623484556,399 Colombia,2580.7
-74.0698309125,4.6585020471,117 CC las Rampas,2577.7
-74.0709050914,4.6568730215,021 Pl 7 de agosto,2583
-74.0717342751,4.6542143318,338 Muequeta,2585.4
-74.0721626925,4.6517863878,340 Muequetá,2584
-74.0726024359,4.6496494347,341 San Luis cl 61F,2580.7
-74.0735108312,4.6450869972,186 San Luis,2582.3
-74.0738449077,4.6468040679,187 San Luis,2583
-74.0730053199,4.6493968748,170 El Campín,2581.7
-74.072382796,4.6524144414,339 Quinta Mutis,2577
