stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,001,CC Iserra 100 ,001A00 CC Iserra 100 ,-74.0640725856,4.6884528697,0,,0,,co,0
2,002,San Felipe  ,002A00 San Felipe  ,-74.0660015489,4.6624454976,0,,0,,co,0
3,003,Pq Alcázares  ,003A00 Pq Alcázares  ,-74.068786987,4.6641301211,0,,0,,co,0
4,004,Av Chile  ,004A00 Av Chile  ,-74.0701792762,4.6655074926,0,,0,,co,0
5,005,Alcázares   ,005A00 Alcázares   ,-74.0704881598,4.6653937667,0,,0,,co,0
6,006,Monumento Rafael Uribe Uribe,006A00 Monumento Rafael Uribe Uribe,-74.07190297,4.6664444329,0,,0,,co,0
7,007,El Listón  ,007A00 El Listón  ,-74.0817801176,4.6129249411,0,,0,,co,0
8,008,Estacion Comuneros  ,008A00 Estacion Comuneros  ,-74.0966290422,4.6058895718,0,,0,,co,0
9,010,IED Ricaurte  ,010A00 IED Ricaurte  ,-74.0946660293,4.6054713826,0,,0,,co,0
10,012,San Bernardo  ,012A00 San Bernardo  ,-74.08800963,4.5915228423,0,,0,,co,0
11,014,Centro Johannes Kepler ,014A00 Centro Johannes Kepler ,-74.0669494774,4.6498872962,0,,0,,co,0
12,015,Cl 67  ,015A00 Cl 67  ,-74.0583703638,4.6501594316,0,,0,,co,0
13,016,Muequeta   ,016A00 Muequeta   ,-74.0720228758,4.65103928,0,,0,,co,0
14,017,Quinta Mutis  ,017A00 Quinta Mutis  ,-74.0739823998,4.6514120963,0,,0,,co,0
15,018,Nuestra Señora del Pilar,018A00 Nuestra Señora del Pilar,-74.0749337101,4.6512892515,0,,0,,co,0
16,019,IDE Alemania Solidaria ,019A00 IDE Alemania Solidaria ,-74.075637349,4.6517439777,0,,0,,co,0
17,020,7 de agosto ,020A00 7 de agosto ,-74.0703884439,4.6581743411,0,,0,,co,0
18,021,Pl 7 de agosto,021A00 Pl 7 de agosto,-74.0709050914,4.6568730215,0,,0,,co,0
19,022,San Luis  ,022A00 San Luis  ,-74.0723835019,4.6458383929,0,,0,,co,0
20,023,San Luis  ,023A00 San Luis  ,-74.072921349,4.6439824521,0,,0,,co,0
21,025,Palermo Ac 45 ,025A00 Palermo Ac 45 ,-74.0752074515,4.6351833568,0,,0,,co,0
22,026,Pq el Renacimiento ,026A00 Pq el Renacimiento ,-74.0778983461,4.6187399053,0,,0,,co,0
23,027,Cementerio Central  ,027A00 Cementerio Central  ,-74.0752482225,4.6180884096,0,,0,,co,0
24,030,El Vergel  ,030A00 El Vergel  ,-74.0957254022,4.5997604162,0,,0,,co,0
25,031,Santa Isabel  ,031A00 Santa Isabel  ,-74.098491226,4.601696902,0,,0,,co,0
26,032,Veraguas   ,032A00 Veraguas   ,-74.0969286952,4.6009226656,0,,0,,co,0
27,033,Veraguas   ,033A00 Veraguas   ,-74.0999311951,4.6030615029,0,,0,,co,0
28,034,Estación Marly  ,034A00 Estación Marly  ,-74.0655351989,4.6405160881,0,,0,,co,0
29,035,Banco Central  ,035A00 Banco Central  ,-74.070909277,4.6413558904,0,,0,,co,0
30,037,CC Galerías  ,037A00 CC Galerías  ,-74.0749651386,4.6417886074,0,,0,,co,0
31,038,Galerías   ,038A00 Galerías   ,-74.0766208202,4.6421000713,0,,0,,co,0
32,039,Chicó Oriental  ,039A00 Chicó Oriental  ,-74.0446729143,4.6692653744,0,,0,,co,0
33,040,El Refugio  ,040A00 El Refugio  ,-74.0463188712,4.6659060671,0,,0,,co,0
34,041,Embajada del Perú ,041A00 Embajada del Perú ,-74.0489442996,4.6625362444,0,,0,,co,0
35,042,La Estanzuela  ,042A00 La Estanzuela  ,-74.089771891,4.6008399362,0,,0,,co,0
36,043,La Estanzuela  ,043A00 La Estanzuela  ,-74.0855295479,4.5979221474,0,,0,,co,0
37,044,Embajada de Francia ,044A00 Embajada de Francia ,-74.0479545007,4.6741241902,0,,0,,co,0
38,045,La Cabrera  ,045A00 La Cabrera  ,-74.0512875788,4.668425308,0,,0,,co,0
39,046,Cra 8  ,046A00 Cra 8  ,-74.0604304667,4.6482378213,0,,0,,co,0
40,047,Cl del Niño ,047A00 Cl del Niño ,-74.0619356076,4.651902652,0,,0,,co,0
41,048,Santa Isabel sur ,048A00 Santa Isabel sur ,-74.1018052027,4.5963776205,0,,0,,co,0
42,049,Bellavista   ,049A00 Bellavista   ,-74.0549830952,4.655546956,0,,0,,co,0
43,050,Colombia   ,050A00 Colombia   ,-74.0662028463,4.6621627521,0,,0,,co,0
44,051,Iglesia Siervas de María,051A00 Iglesia Siervas de María,-74.0685813194,4.6643801253,0,,0,,co,0
45,053,CC Chapinero  ,053A00 CC Chapinero  ,-74.0625103344,4.64914444,0,,0,,co,0
